Variable,N,Mean,SD,Median,Min,Max
Birth year,12090,1940.803,11.939,1940.000,1905.000,1980.000
Education (years),12060,13.264,2.528,13.000,0.000,17.000
"Wealth (latest, $)",12090,717307.605,1461745.180,270000.000,-198000.000,26872000.000
IHS(wealth),12090,11.925,4.932,13.199,-12.889,17.800
SS claiming age,6712,63.751,1.806,63.100,62.000,70.000
Retirement age,9643,63.877,6.964,63.000,50.000,85.000
CESD (average),12090,1.322,1.427,0.833,0.000,8.000
Cognition (average),11689,23.249,3.868,23.667,4.500,35.000
Female (%),12090,57.022,,,0.000,100.000
Stock participation (%),12090,27.279,,,0.000,100.000
IRA participation (%),12090,41.629,,,0.000,100.000
Ever held stocks (%),12090,61.754,,,0.000,100.000
Ever held IRA (%),12090,68.569,,,0.000,100.000
PGS Education,12090,0.000,1.000,-0.006,-3.382,3.370
PGS Cognition,12090,-0.000,1.000,-0.007,-4.019,4.198
PGS Depression,12090,-0.000,1.000,0.000,-4.131,3.571
PGS Neuroticism,12090,-0.000,1.000,0.016,-3.709,3.573
PGS Well-being,12090,-0.000,1.000,0.013,-3.848,3.667
