trait,outcome,or,or_ci_lower,or_ci_upper,coef,se,z,p,n,pseudo_r2
Education,Stock (current),1.1726,1.1202,1.2275,0.1593,0.0233,6.8228,0.0000,12060,0.0627
Education,IRA (current),1.1833,1.1350,1.2336,0.1683,0.0213,7.9120,0.0000,12060,0.0775
Education,Stock (ever),1.1729,1.1242,1.2237,0.1595,0.0216,7.3735,0.0000,12060,0.0891
Education,IRA (ever),1.1821,1.1312,1.2353,0.1673,0.0225,7.4513,0.0000,12060,0.0801
Cognition,Stock (current),1.1483,1.0952,1.2039,0.1382,0.0241,5.7279,0.0000,12060,0.0616
Cognition,IRA (current),1.1421,1.0935,1.1928,0.1329,0.0222,5.9923,0.0000,12060,0.0758
Cognition,Stock (ever),1.1062,1.0582,1.1563,0.1009,0.0226,4.4611,0.0000,12060,0.0869
Cognition,IRA (ever),1.1180,1.0677,1.1707,0.1116,0.0235,4.7493,0.0000,12060,0.0778
Depression,Stock (current),0.9057,0.8666,0.9467,-0.0990,0.0226,-4.3872,0.0000,12060,0.0607
Depression,IRA (current),0.9362,0.8990,0.9749,-0.0659,0.0207,-3.1919,0.0014,12060,0.0743
Depression,Stock (ever),0.8918,0.8557,0.9295,-0.1145,0.0211,-5.4241,0.0000,12060,0.0875
Depression,IRA (ever),0.9287,0.8897,0.9694,-0.0740,0.0219,-3.3764,0.0007,12060,0.0771
Neuroticism,Stock (current),0.9391,0.8922,0.9885,-0.0628,0.0262,-2.4012,0.0163,12060,0.0597
Neuroticism,IRA (current),0.9523,0.9085,0.9982,-0.0489,0.0240,-2.0339,0.0420,12060,0.0739
Neuroticism,Stock (ever),0.9215,0.8780,0.9672,-0.0817,0.0247,-3.3107,0.0009,12060,0.0863
Neuroticism,IRA (ever),0.9377,0.8919,0.9858,-0.0643,0.0255,-2.5207,0.0117,12060,0.0767
Well-being,Stock (current),1.0052,0.9614,1.0509,0.0051,0.0227,0.2261,0.8211,12060,0.0593
Well-being,IRA (current),1.0493,1.0078,1.0924,0.0481,0.0206,2.3395,0.0193,12060,0.0740
Well-being,Stock (ever),1.0524,1.0098,1.0967,0.0510,0.0210,2.4253,0.0153,12060,0.0860
Well-being,IRA (ever),1.0334,0.9901,1.0787,0.0329,0.0219,1.5045,0.1325,12060,0.0765
