trait,endogenous,outcome,first_stage_coef,first_stage_se,first_stage_t,first_stage_f,first_stage_p,first_stage_r2,first_stage_n,rf_coef,rf_se,rf_t,rf_p,rf_ci_lower,rf_ci_upper,rf_n,rf_r2,iv_coef,iv_se,iv_t,iv_p,iv_ci_lower,iv_ci_upper,iv_n,first_stage_f_from_model
Education,raedyrs,IHS(wealth),0.7010,0.0223,31.4288,987.7705,0.0000,0.1237,12060,0.5596,0.0469,11.9277,0.0000,0.4676,0.6515,12060,0.0224,0.7983,0.0668,11.9489,0.0000,0.6673,0.9292,12060,988.9537
Education,raedyrs,SS claiming age,0.6403,0.0298,21.5179,463.0194,0.0000,0.1194,6700,0.1838,0.0231,7.9398,0.0000,0.1384,0.2292,6700,0.0295,0.2870,0.0363,7.8976,0.0000,0.2158,0.3583,6700,464.0094
Education,raedyrs,Stock participation,0.7010,0.0223,31.4288,987.7705,0.0000,0.1237,12060,0.0576,0.0042,13.6902,0.0000,0.0493,0.0658,12060,0.0267,0.0822,0.0060,13.7015,0.0000,0.0704,0.0939,12060,988.9537
Education,raedyrs,IRA participation,0.7010,0.0223,31.4288,987.7705,0.0000,0.1237,12060,0.0715,0.0046,15.6393,0.0000,0.0625,0.0805,12060,0.0473,0.1020,0.0066,15.4617,0.0000,0.0891,0.1149,12060,988.9537
Cognition,cogtot_avg,IHS(wealth),1.0739,0.0346,31.0501,964.1065,0.0000,0.2237,11689,0.4559,0.0489,9.3129,0.0000,0.3599,0.5518,11689,0.0176,0.4245,0.0450,9.4354,0.0000,0.3363,0.5127,11689,965.2959
Cognition,cogtot_avg,SS claiming age,1.0211,0.0418,24.3988,595.3003,0.0000,0.2193,6607,0.1709,0.0248,6.9040,0.0000,0.1224,0.2195,6607,0.0270,0.1674,0.0246,6.7934,0.0000,0.1191,0.2157,6607,596.5905
Cognition,cogtot_avg,Stock participation,1.0739,0.0346,31.0501,964.1065,0.0000,0.2237,11689,0.0492,0.0045,10.9482,0.0000,0.0404,0.0581,11689,0.0208,0.0459,0.0042,10.8492,0.0000,0.0376,0.0541,11689,965.2959
Cognition,cogtot_avg,IRA participation,1.0739,0.0346,31.0501,964.1065,0.0000,0.2237,11689,0.0574,0.0050,11.4693,0.0000,0.0476,0.0672,11689,0.0400,0.0534,0.0047,11.4828,0.0000,0.0443,0.0625,11689,965.2959
Depression,cesd_avg,IHS(wealth),0.1544,0.0135,11.4316,130.6806,0.0000,0.0287,12090,-0.2667,0.0463,-5.7607,0.0000,-0.3575,-0.1760,12090,0.0128,-1.7271,0.3016,-5.7258,0.0000,-2.3184,-1.1359,12090,130.8367
Depression,cesd_avg,SS claiming age,0.1124,0.0165,6.8091,46.3645,0.0000,0.0359,6712,-0.0780,0.0232,-3.3565,0.0008,-0.1236,-0.0325,6712,0.0216,-0.6946,0.2243,-3.0961,0.0020,-1.1342,-0.2549,6712,46.4634
Depression,cesd_avg,Stock participation,0.1544,0.0135,11.4316,130.6806,0.0000,0.0287,12090,-0.0251,0.0042,-5.9214,0.0000,-0.0334,-0.0168,12090,0.0139,-0.1624,0.0292,-5.5583,0.0000,-0.2197,-0.1051,12090,130.8367
Depression,cesd_avg,IRA participation,0.1544,0.0135,11.4316,130.6806,0.0000,0.0287,12090,-0.0231,0.0046,-4.9801,0.0000,-0.0322,-0.0140,12090,0.0294,-0.1496,0.0303,-4.9426,0.0000,-0.2090,-0.0903,12090,130.8367
